word,frequency
gave,0.1778975741239892
felt,0.13746630727762804
asked,0.11320754716981132
situation,0.12129380053908356
advice,0.09973045822102426
understood,0.1078167115902965
told,0.0673854447439353
feeling,0.09164420485175202
made,0.0646900269541779
said,0.0646900269541779
time,0.07547169811320754
helped,0.04851752021563342
also,0.05390835579514825
used,0.0431266846361186
responded,0.03773584905660377
better,0.0431266846361186
sometimes,0.0431266846361186
explained,0.03234501347708895
gives,0.03504043126684636
chatbot,0.03504043126684636
provided,0.03234501347708895
response,0.04582210242587601
seemed,0.04582210242587601
emotional,0.0862533692722372
moment,0.03504043126684636
even,0.05390835579514825
going,0.03234501347708895
wanted,0.026954177897574125
saying,0.04043126684636118
questions,0.07816711590296496
needed,0.02425876010781671
sorry,0.026954177897574125
suggestions,0.026954177897574125
something,0.0646900269541779
lost,0.0215633423180593
job,0.0215633423180593
relationship,0.0215633423180593
validated,0.0215633423180593
day,0.03504043126684636
sad,0.02425876010781671
many,0.026954177897574125
yes,0.0215633423180593
bad,0.0215633423180593
chat,0.026954177897574125
well,0.04043126684636118
support,0.04043126684636118
wrong,0.018867924528301886
way,0.07547169811320754
things,0.06199460916442048
life,0.029649595687331536
